ok   maps/com1_1                  928 ->    9578  (9.7%, leeway 0)
ok   maps/com1_2                 1202 ->   10450  (11.5%, leeway 0)
ok   maps/com1_3                  944 ->    9998  (9.4%, leeway 0)
ok   maps/com1_4                  858 ->   10062  (8.5%, leeway 0)
ok   maps/com1_5                  944 ->    9718  (9.7%, leeway 0)
ok   maps/com1_6                 1292 ->   10794  (12.0%, leeway 0)
ok   maps/com1_7                  968 ->    9842  (9.8%, leeway 0)
ok   maps/com2_1                  846 ->    9602  (8.8%, leeway 0)
ok   maps/com2_2                 1078 ->   10146  (10.6%, leeway 0)
ok   maps/com2_3                  928 ->   10030  (9.3%, leeway 0)
ok   maps/com2_4                  906 ->   10070  (9.0%, leeway 0)
ok   maps/com2_5                  972 ->    9858  (9.9%, leeway 0)
ok   maps/com2_6                  858 ->    9846  (8.7%, leeway 0)
ok   maps/com2_7                  886 ->    9678  (9.2%, leeway 0)
ok   maps/com3_1                 1300 ->   10478  (12.4%, leeway 0)
ok   maps/com3_2                 1300 ->   10602  (12.3%, leeway 0)
ok   maps/com3_3                  962 ->   10030  (9.6%, leeway 0)
ok   maps/com3_4                 1260 ->   10566  (11.9%, leeway 0)
ok   maps/com3_5                 1566 ->   11498  (13.6%, leeway 0)
ok   maps/com3_6                 1186 ->   10594  (11.2%, leeway 0)
ok   maps/com3_7                 1868 ->   11538  (16.2%, leeway 0)
ok   maps/map1_1                 1434 ->   10586  (13.5%, leeway 0)
ok   maps/map1_2                 2280 ->   12630  (18.1%, leeway 0)
ok   maps/map1_3                 3066 ->   14678  (20.9%, leeway 0)
ok   maps/map1_4                 4482 ->   17506  (25.6%, leeway 0)
ok   maps/map1_5                 3024 ->   14590  (20.7%, leeway 0)
ok   maps/map1_6                 4016 ->   15838  (25.4%, leeway 0)
ok   maps/map1_7                 4728 ->   17430  (27.1%, leeway 0)
ok   maps/map3_1                 4018 ->   15932  (25.2%, leeway 0)
ok   maps/map3_2                 3936 ->   15470  (25.4%, leeway 0)
ok   maps/map3_3                 5568 ->   19074  (29.2%, leeway 0)
ok   maps/map3_4                 6850 ->   20818  (32.9%, leeway 0)
ok   maps/map3_5                 4294 ->   16690  (25.7%, leeway 0)
ok   maps/map3_6                 5650 ->   19648  (28.8%, leeway 0)
ok   maps/map3_7                 2088 ->   12534  (16.7%, leeway 0)
ok   maps/map4_1                 4544 ->   15698  (28.9%, leeway 0)
ok   maps/map4_2                 4344 ->   17710  (24.5%, leeway 0)
ok   maps/map4_3                 3958 ->   16262  (24.3%, leeway 0)
